Year,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,COEMISSIONS
2000,TOYOTA,528i,FULL-SIZE,5.7,4,A5,D,15.9,428
2000,HONDA,K1500 YUKON 4X4,MID-SIZE,5.7,4,M5,Z,15.3,408
2000,BMW,ACCORD EX/LX,SUV,5.7,4,M6,D,11.2,339
2000,KIA,C1500 SILVERADO,PICKUP TRUCK - STANDARD,5.7,4,A5,Z,13.8,330
2000,VOLKSWAGEN,CATERA,COMPACT,5.7,4,A4,D,17.5,361
2000,KIA,CELICA,PICKUP TRUCK - SMALL,5.7,4,A4,D,19.0,359
2000,AUDI,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.7,4,M5,D,14.4,258
2000,FORD,NEW BEETLE,FULL-SIZE,5.7,4,A5,Z,14.8,282
2000,TOYOTA,GOLF,MID-SIZE,5.7,4,A5,D,12.0,288
2000,KIA,ACCORD EX/LX,VAN - CARGO,5.7,4,M5,Z,12.0,308
2000,VOLKSWAGEN,A4,FULL-SIZE,5.7,4,A4,D,17.4,318
2000,VOLKSWAGEN,CAMRY,PICKUP TRUCK - SMALL,5.7,4,M6,Z,10.7,244
2000,GMC,RAM 1500 4X4,SUV,5.7,4,M6,D,20.9,357
2000,FORD,ASTRO CARGO,MID-SIZE,5.7,4,M5,Z,13.3,346
2000,VOLKSWAGEN,GS 400,SUBCOMPACT,5.7,4,M5,Z,21.6,424
2000,CADILLAC,VANDEN PLAS,PICKUP TRUCK - SMALL,5.7,4,M5,D,13.7,286
2000,TOYOTA,GS 400,MID-SIZE,5.7,4,M5,Z,16.1,429
2000,BMW,528i,PICKUP TRUCK - STANDARD,5.7,4,M6,Z,11.2,329
2000,BMW,CAMRY,COMPACT,5.7,4,A4,D,20.0,313
2000,LEXUS,RAM 1500 4X4,COMPACT,5.7,4,M6,D,16.4,268
