MAKE,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,COEMISSIONS,FUEL_X,FUEL_Z,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_M5,FUEL CONSUMPTION
3.0,3.08,2.0,4,228,1,0,0,0,1,11.2
4.75,4.34,4.7,8,382,1,0,0,0,1,18.8
4.5,4.34,4.8,8,373,1,0,0,0,1,18.9
4.0,4.34,4.6,8,380,1,0,1,0,0,18.5
4.0,4.34,4.2,6,359,1,0,1,0,0,17.3
3.0,3.08,2.0,4,244,1,0,1,0,0,11.9
3.25,3.02,1.8,4,237,0,1,0,0,0,11.6
4.0,4.0,2.5,4,315,1,0,0,0,1,14.7
3.0,3.08,1.9,4,192,0,0,1,0,0,8.1
4.0,4.83,4.6,8,382,1,0,1,0,0,18.8
4.0,3.53,4.3,6,313,1,0,1,0,0,15.4
3.75,3.61,3.8,6,262,1,0,1,0,0,13.5
3.75,3.02,1.0,3,147,1,0,0,0,1,7.1
4.0,4.0,4.0,6,357,1,0,0,1,0,17.1
4.75,4.5,5.2,8,353,0,0,1,0,0,20.8
3.25,3.02,3.0,6,306,0,1,0,0,0,15.2
4.0,4.0,5.4,8,403,1,0,1,0,0,20.2
3.25,3.08,3.4,6,262,1,0,1,0,0,13.6
2.75,4.0,2.0,4,267,1,0,1,0,0,12.5
3.75,4.34,3.3,6,350,1,0,0,0,1,16.2
2.75,3.42,2.3,4,237,1,0,1,0,0,11.8
4.5,3.53,2.2,4,246,1,0,0,0,1,12.2
3.0,3.08,2.2,4,258,1,0,0,0,1,13.1
3.5,3.61,2.7,6,258,1,0,0,0,0,13.2
4.75,4.34,5.9,8,426,1,0,1,0,0,21.6
3.0,3.02,2.0,4,228,1,0,0,0,1,11.2
3.75,3.08,2.8,6,258,0,1,0,0,1,13.0
3.75,4.5,4.3,6,336,1,0,1,0,0,16.2
3.25,3.02,1.8,4,230,0,1,0,0,0,11.6
3.75,3.42,3.0,6,294,0,1,1,0,0,14.7
3.5,3.08,2.8,6,285,0,1,0,1,0,14.6
4.0,3.42,3.0,6,265,1,0,1,0,0,13.5
4.5,4.0,5.7,8,430,1,0,1,0,0,21.2
3.25,3.42,2.2,4,228,1,0,0,0,1,11.4
3.0,4.0,2.5,4,246,1,0,1,0,0,12.2
4.0,3.42,4.0,8,306,0,1,0,1,0,15.5
3.0,3.08,1.8,4,225,0,1,0,0,1,11.1
3.0,4.0,2.0,4,294,1,0,1,0,0,13.4
3.75,4.34,5.3,8,343,1,0,1,0,0,16.7
3.75,3.42,4.0,8,299,0,1,0,1,0,15.0
2.75,3.97,3.5,6,292,1,0,1,0,0,14.9
3.25,4.34,3.4,6,336,1,0,0,0,1,16.0
3.75,4.34,4.3,6,368,1,0,1,0,0,17.7
3.5,3.42,4.2,8,308,0,1,0,1,0,15.5
6.25,4.23,3.6,8,472,0,1,0,0,0,24.1
2.75,4.0,2.0,4,267,1,0,0,0,1,12.5
2.75,3.02,1.9,4,207,1,0,1,0,0,10.6
2.75,3.02,1.6,4,216,1,0,1,0,0,10.5
3.0,3.42,2.5,6,262,1,0,1,0,0,13.2
3.5,3.31,3.2,6,274,0,1,0,1,0,13.5
3.5,3.61,2.7,6,260,1,0,1,0,0,13.2
4.0,4.34,4.0,6,306,1,0,0,0,1,14.9
4.0,3.08,2.5,6,260,1,0,0,0,1,13.3
3.25,4.0,3.4,6,331,1,0,0,0,1,15.7
4.0,3.61,4.6,8,297,1,0,1,0,0,15.0
3.5,3.08,1.8,4,251,0,1,0,1,0,12.9
4.0,4.0,4.0,6,338,1,0,1,0,0,16.6
3.5,3.42,2.5,6,278,0,1,1,0,0,13.7
3.5,4.0,3.3,6,366,1,0,1,0,0,17.7
3.5,3.42,2.4,5,262,0,1,0,1,0,13.2
4.5,4.34,5.3,8,373,1,0,1,0,0,17.9
3.75,4.34,5.3,8,373,1,0,1,0,0,17.9
3.25,3.02,3.8,6,265,1,0,0,0,1,13.8
3.5,3.67,4.3,8,304,0,1,0,1,0,15.2
3.25,4.34,2.4,4,253,1,0,0,0,1,12.2
3.5,3.42,2.0,4,219,1,0,0,0,1,10.6
4.0,4.34,4.6,8,380,1,0,0,0,1,18.8
3.0,3.31,2.5,4,253,1,0,0,0,1,12.5
3.5,3.67,1.8,4,260,0,1,0,0,0,13.1
4.75,3.97,3.8,6,308,1,0,0,0,0,15.5
2.75,2.99,1.9,4,202,1,0,0,0,1,10.3
4.75,4.0,4.7,8,389,1,0,1,0,0,19.3
4.0,4.0,3.2,6,347,1,0,0,0,1,16.8
3.0,3.02,1.5,4,216,1,0,1,0,0,11.3
3.75,4.0,4.3,6,336,1,0,1,0,0,16.2
4.0,3.02,4.0,8,304,0,1,0,1,0,15.4
3.75,3.02,2.4,4,248,1,0,1,0,0,12.5
3.5,3.08,2.0,4,230,1,0,0,0,1,11.4
3.75,3.42,4.6,8,297,0,1,1,0,0,15.5
3.0,3.02,2.5,4,258,1,0,0,0,1,12.8
3.5,3.02,3.2,6,255,0,1,0,1,0,12.9
